path,license_expression,copyright,evidence
.dockerignore,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.env.example,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/ISSUE_TEMPLATE/bug_report.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/ISSUE_TEMPLATE/config.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/ISSUE_TEMPLATE/documentation.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/ISSUE_TEMPLATE/failing_test.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/ISSUE_TEMPLATE/feature_request.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/PULL_REQUEST_TEMPLATE.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/labels.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/banned-words.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/ce-import-lint.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/ci.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/dco.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/dependency-review.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/ee-terms.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/frontend.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/publish-official-media-catalog.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/release-images.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/secret-scan.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.github/workflows/sync-to-gitee.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.gitignore,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.gitleaks.toml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/plugins/dramaclaw/__init__.py,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/plugins/dramaclaw/plugin.yaml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/SKILL.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/playbooks/episode.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/playbooks/init.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/playbooks/resume.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/api-reference.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/async-tasks.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/delivery-boundaries.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/editable-fields.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/pipeline-details.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/read-behavior.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/run-modes.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.hermes/skills/dramaclaw/references/update-behavior.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.mcp.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
.pre-commit-config.yaml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
